transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,profit,product_first_sold_date,gender,past_3_years_bike_related_purchases,age_clean,job title,industry
1,2,2950,2017-02-25,false,Approved,Solex,Standard,medium,medium,71.49,53.62,17.87,2012-12-02,Male,19,70,Software Engineer I,Financial Services
2,3,3120,2017-05-21,true,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.55,2014-03-03,Female,89,46,Clinical Specialist,Health
3,37,402,2017-10-16,false,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.61,1999-07-20,Male,9,48,Desktop Support Technician,Retail
4,88,3135,2017-08-31,false,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,817.36,1998-12-16,Male,83,63,Staff Scientist,Financial Services
5,78,787,2017-10-01,true,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,2015-08-10,Female,29,28,NULL,Retail
6,25,2339,2017-03-08,true,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2006-11-10,Male,3,66,Web Designer II,Property
7,22,1542,2017-04-21,true,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,15.08,1993-07-15,Male,56,46,Food Chemist,Health
8,15,2459,2017-07-15,false,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.4,2009-04-12,Female,67,39,Quality Engineer,Manufacturing
9,67,1305,2017-08-10,false,Approved,Solex,Standard,medium,large,1071.23,380.74,690.49,1991-08-05,Male,97,55,Executive Secretary,Financial Services
10,12,3262,2017-08-30,true,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.55,2004-08-17,Male,65,65,Product Engineer,Entertainment
11,5,1986,2017-01-17,false,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,114.93,2011-08-29,Female,53,43,NULL,Retail
12,61,2783,2017-01-05,true,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,14.23,2015-06-17,Male,14,46,Sales Representative,Retail
