вік,Київ,Волинська,Дніпропетровська,Житомирська,Закарпатська,Запорізька,Івано-Франківська,Київська,Кіровоградська,Львівська,Миколаївська,Одеська,Полтавська,Рівненська,Сумська,Тернопільська,Харківська,Хмельницька,Черкаська,Чернівецька,Чернігівська
0-14,10,1,2,,2,,1,,,1,,,2,1,,,2,,1,,
15,598,136,268,,97,137,244,,5,132,54,67,139,161,,,23,72,292,36,
16,1 322,331,481,10,212,282,343,8,19,354,106,247,260,236,1,15,86,128,520,71,1
17,22 146,2 941,4 887,1 656,2 181,1 557,3 721,827,754,11 907,989,5 451,2 785,2 257,974,2 527,5 879,1 717,2 137,2 193,868
18,36 461,4 144,8 874,2 592,3 031,2 947,5 198,1 459,1 376,16 871,1 548,8 609,4 391,3 337,1 901,3 793,10 853,2 799,3 003,3 250,1 608
19,37 802,4 053,9 848,2 873,3 228,3 527,5 249,1 886,1 640,16 707,1 668,9 251,4 646,3 139,2 203,4 696,11 716,3 261,3 109,3 283,1 771
20,41 531,3 651,10 647,2 869,2 936,4 764,5 523,2 207,1 796,17 058,2 091,10 197,4 568,3 168,2 616,4 795,15 921,3 690,3 136,3 074,1 823
21,31 052,2 276,7 882,2 076,2 192,4 275,3 868,1 781,1 446,11 466,1 868,7 669,3 811,2 112,2 117,3 526,13 113,2 848,2 541,2 201,1 384
22,17 163,863,4 510,978,948,2 988,1 841,1 275,920,5 262,948,3 622,2 644,1 025,1 128,1 761,7 155,1 441,1 334,1 070,661
23,7 202,388,2 065,382,413,1 825,794,607,519,2 084,488,1 737,1 309,540,538,799,3 271,710,645,501,300
24,4 170,348,1 299,287,281,1 193,511,424,353,1 451,366,1 072,824,402,383,611,2 016,472,490,240,255
25,3 516,366,1 113,322,237,995,400,400,296,1 368,389,848,624,497,302,525,1 600,445,475,197,241
26,2 921,338,923,262,209,844,283,382,256,1 101,375,729,550,443,244,516,1 325,358,394,134,204
27,2 611,263,813,229,187,839,288,364,253,937,390,665,519,443,222,426,1 145,326,409,144,221
28,2 340,255,789,227,182,794,255,301,231,846,384,666,502,375,220,371,1 018,276,347,111,190
29,2 062,242,709,210,163,801,214,293,220,765,351,549,439,386,204,313,1 090,237,363,77,177
30,1 852,222,749,211,172,727,215,309,246,577,364,522,447,344,189,284,899,214,340,67,151
31,1 760,195,629,214,151,742,181,323,192,576,375,537,439,292,184,302,883,211,326,55,145
32,1 719,206,632,202,148,768,196,308,232,529,351,485,454,284,195,288,871,223,292,76,159
33,1 689,172,702,202,156,744,193,301,213,476,324,457,422,265,187,257,901,206,281,65,160
34,1 742,182,608,193,161,772,191,281,224,452,376,540,451,275,211,267,876,220,332,65,172
35-39,8 594,918,3 472,928,784,4 050,861,1 321,977,2 006,1 873,2 402,2 284,1 214,970,1 202,4 373,939,1 415,275,868
40-44,6 426,698,2 580,681,567,3 361,625,927,756,1 353,1 349,1 663,1 659,878,740,856,3 147,696,985,174,651
45-49,4 056,475,1 575,416,364,2 311,403,608,468,705,878,984,1 153,594,495,549,2 055,408,675,115,368
50-54,1 966,219,754,219,249,1 294,199,371,237,315,490,449,746,241,253,260,933,219,342,67,168
55-59,603,52,199,62,61,423,38,124,66,73,130,134,220,77,48,64,216,37,96,18,42
60-100,149,8,40,9,6,60,7,20,9,10,30,26,40,8,5,13,43,6,11,6,6
