Галузь молодшого бакалавра,Коди,"Кількість осіб, прийнятих на навчання",Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
Дошкільна освіта,12,,,,4,4
Початкова освіта,13,,16,16,29,24
Середня освіта (за предметними спеціалізаціями),14,,,,6,6
Професійна освіта (за спеціалізаціями),15,,25,,15,1
Спеціальна освіта,16,,,,3,3
"Інформаційна, бібліотечна та архівна справа",29,,6,2,4,1
Економіка,51,,2,1,16,9
Психологія,53,,2,2,12,11
Облік і оподаткування,71,,57,23,47,16
"Фінанси, банківська справа та страхування",72,,1,1,17,12
Менеджмент,73,,52,24,50,37
Маркетинг,75,,18,13,18,15
Підприємництво та торгівля,76,,2,2,,
"Підприємництво, торгівля та біржова діяльність",76,,,,14,9
Право,81,,9,3,6,5
Біологія,91,,,,8,4
Екологія,101,,12,,17,6
Науки про Землю,103,,,,1,1
Інженерія програмного забезпечення,121,,2,,2,
Комп'ютерні науки,122,,4,1,8,1
Комп'ютерна інженерія,123,,11,,1,
Кібербезпека та захист інформації,125,,2,,,
Інформаційні системи та технології,126,,10,6,6,4
Галузеве машинобудування,133,,21,,12,
Суднобудування,135,,1,,2,
"Електроенергетика, електротехніка та електромеханіка",141,,,,2,
Автоматизація та комп'ютерно-інтегровані технології,151,,,,24,
Метрологія та інформаційно-вимірювальна техніка,152,,,,7,2
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",174,,22,,,
Харчові технології,181,,10,5,18,11
Геодезія та землеустрій,193,,13,,19,3
Агрономія,201,,13,3,19,
Захист і карантин рослин,202,,21,,8,2
"Садівництво, плодоочівництво та виноградарство",203,,5,1,,
Садівництво та виноградарство,203,,,,5,2
"Технологія виробництва і переробки продукції 
тваринництва",204,,12,9,11,8
Лісове господарство,205,,,,1,1
Агроінженерія,208,,7,1,8,1
Стоматологія,221,,,,14,7
"Фармація, промислова фармація",226,,62,61,36,34
Соціальна робота,231,,9,7,6,6
Готельно-ресторанна справа,241,,19,14,21,14
Туризм,242,,1,,6,4
Морський та внутрішній водний транспорт,271,,,,2,
Транспортні технології (за видами),275,,,,1,
