Галузь Магістра,Коди,Кількість прийнятих осіб,Кількість студентів,З них жінки,"Кількість осіб, випущених із ЗВО",З них жінки
"Освітні, педагогічні науки",11,883,1 042,514,1 137,641
Дошкільна освіта,12,928,1 252,1 173,2 063,2 009
Початкова освіта,13,1 464,2 081,1 928,2 814,2 724
Середня освіта (за предметними спеціалізаціями),14,6 796,8 146,4 239,9 403,5 634
Професійна освіта (за спеціалізаціями),15,677,1 283,226,1 139,251
Спеціальна освіта,16,1 801,2 184,2 083,1 851,1 768
Фізична культура і спорт,17,3 142,3 867,901,2 851,815
Аудіовізуальне мистецтво та виробництво,21,314,432,111,203,82
Дизайн,22,761,924,482,622,402
"Образотворче мистецтво, декоративне мистецтво,  
реставрація",23,409,462,289,341,241
Хореографія,24,228,277,192,246,172
Музичне мистецтво,25,801,1 189,685,964,577
Сценічне мистецтво,26,285,350,177,366,202
"Музеєзнавство, пам’яткознавство",27,46,54,21,34,15
Менеджмент соціокультурної діяльності,28,263,296,111,242,119
"Інформаційна, бібліотечна та архівна справа",29,500,663,207,578,292
Релігієзнавство,31,40,59,5,32,10
Історія та археологія,32,620,761,240,481,167
Філософія,33,195,242,64,183,36
Культурологія,34,163,229,132,179,117
Філологія,35,3 400,4 003,2 954,3 072,2 421
Богослов’я,41,176,321,40,160,33
Економіка,51,3 148,3 951,1 312,3 036,1 135
Політологія,52,370,455,120,307,98
Психологія,53,12 776,17 420,14 209,9 411,7 831
Соціологія,54,207,254,115,162,82
Журналістика,61,902,1 157,654,827,517
Облік і оподаткування,71,1 827,2 357,1 243,2 421,1 456
"Фінанси, банківська справа, страхування та 
фондовий ринок",72,2 534,3 432,1 357,1 406,655
"Фінанси, банківська справа та страхування",72,,77,21,1 400,623
Менеджмент,73,8 608,11 653,3 965,8 520,3 107
Маркетинг,75,2 312,2 798,1 141,1 716,780
Підприємництво та торгівля,76,2 052,2 459,737,1 218,387
"Підприємництво, торгівля та біржова діяльність",76,,14,3,680,221
Право,81,9 578,13 361,6 768,11 705,6 191
Біологія,91,,5,4,293,194
Біологія та біохімія,91,720,854,580,373,278
Екологія,101,1 349,1 455,362,1 386,425
Хімія,102,282,436,218,331,211
Науки про Землю,103,287,395,97,431,98
Фізика та астрономія,104,193,295,67,173,25
Прикладна фізика та наноматеріали,105,191,276,41,191,33
Географія,106,204,244,65,105,50
Математика,111,214,285,104,192,91
Статистика,112,62,217,36,73,22
Прикладна математика,113,336,465,92,384,78
Інженерія програмного забезпечення,121,2 287,3 035,245,2 354,282
Комп'ютерні науки,122,3 938,5 149,590,3 836,500
Комп'ютерна інженерія,123,1 577,2 202,151,1 710,162
Системний аналіз,124,388,537,103,547,124
Кібербезпека,125,,16,2,582,81
Кібербезпека та захист інформації,125,1 280,1 784,229,765,99
Інформаційні системи та технології,126,778,948,112,738,98
Прикладна механіка,131,952,1 118,70,1 285,110
Матеріалознавство,132,267,386,31,374,57
Галузеве машинобудування,133,1 520,1 998,85,1 711,74
Авіаційна та ракетно-космічна техніка,134,204,282,20,356,48
Суднобудування,135,70,72,2,118,8
Металургія,136,441,720,36,332,46
"Електроенергетика, електротехніка та 
електромеханіка",141,2 576,3 430,227,3 427,345
Енергетичне машинобудування,142,274,323,14,250,7
Атомна енергетика,143,105,157,51,161,32
Теплоенергетика,144,340,460,64,457,93
Відновлювані джерела енергії та гідроенергетика,145,28,25,2,25,
Гідроенергетика,145,,1,,,
