галузь Магістра,Коди,бюджетники,контрактники,ваучера
Освіта/Педагогіка,10,5 529,10 010,152
Культура і мистецтво,20,1 270,2 330,7
Гуманітарні науки,30,1 275,3 143,
Богослов’я,40,,176,
Соціальні та поведінкові науки,50,971,14 752,778
Журналістика,60,187,715,
Управління та адміністрування,70,1 818,15 463,52
Право,80,829,8 749,
Біологія,90,310,410,
Природничі науки,100,1 086,1 420,
Математика та статистика,110,432,180,
Інформаційні технології,120,4 260,5 962,26
Механічна інженерія,130,1 781,1 673,
Електрична інженерія,140,1 659,1 642,22
"Хімічна інженерія та 
біоінженерія",160,538,429,1
"Електроніка, автоматизація та 
електронні комунікації",170,1 838,1 707,4
Виробництво та технології,180,1 131,1 823,12
Архітектура та будівництво,190,1 774,2 683,34
Аграрні науки та продовольство,200,2 226,2 857,18
Ветеринарія,210,659,468,3
Охорона здоров’я,220,4 769,4 323,1
Соціальна робота,230,365,1 422,85
Сфера обслуговування,240,137,1 354,13
"Воєнні науки, національна безпека, безпека державного кордону",250,,337,
Цивільна безпека,260,97,1 939,5
Транспорт,270,1 091,2 097,5
Публічне управління та адміністрування,280,1 124,3 682,2
Міжнародні відносини,290,364,1 954,
