область,Кількість закладів вищої освіти,Кількість студентів
Вінницька,11,31 063
Волинська,7,23 943
Дніпропетровська,26,67 050
Житомирська,4,18 310
Закарпатська,7,19 318
Запорізька,13,43 020
Івано-Франківська,11,31 842
Київська,8,17 107
Кіровоградська,8,13 704
Львівська,21,95 382
Миколаївська,8,18 555
Одеська,19,59 578
Полтавська,8,36 328
Рівненська,8,22 994
Сумська,5,16 530
Тернопільська,6,29 016
Харківська,28,91 410
Хмельницька,11,22 159
Черкаська,8,24 291
Чернівецька,4,17 565
Чернігівська,6,12 594
м. Київ,83,243 463
